Kernel radius,wm_parallel2_cpu,Kernel radius,adams_gpu_static,adams_gpu_dynamic,npp,arrayfire,opencv_cuda,wavelet_matrix_cuda,wm_runtimeonly_cuda
1,1.813936,1,129802.250000,2756.348145,52211.460938,62363.621094,inf,362.646149,689.538513
2,1.781756,2,53598.445312,1917.976685,15444.673828,1778.939575,inf,364.821472,697.030457
3,1.802313,3,21513.345703,1357.498291,1145.016479,483.280273,inf,364.056366,698.076904
4,1.760890,4,14076.112305,964.823303,377.924377,174.320999,inf,361.287811,687.930725
5,1.774589,5,9020.807617,749.049988,368.517822,69.546524,inf,359.899841,680.244141
6,1.739376,6,6262.372559,537.930725,269.026031,27.946789,inf,358.996277,679.278748
7,1.730888,7,4376.762695,350.803894,204.849854,14.049176,inf,358.546051,677.316772
8,1.758413,8,2582.891113,281.883667,162.088196,inf,inf,354.904785,672.886536
9,1.764419,9,1833.932129,241.967026,131.658234,inf,inf,354.446716,672.011353
10,1.758108,10,1477.890015,202.546402,108.310379,inf,inf,353.744293,668.981812
11,1.751141,11,998.260193,173.342438,90.692375,inf,inf,353.952637,667.832458
12,1.744477,12,472.567322,146.475021,77.054482,inf,inf,351.671661,664.283508
13,1.736869,13,359.216766,128.303101,66.268669,inf,inf,353.071075,661.664856
14,1.734579,14,271.894165,106.006706,57.592819,inf,inf,351.914032,655.796448
15,1.727269,15,237.918701,92.953651,50.518017,inf,inf,351.705017,654.716248
16,1.721994,16,181.172394,80.239326,44.680290,inf,inf,349.368530,654.100769
17,1.710582,17,144.338654,71.189667,39.503204,inf,inf,347.797546,651.988464
18,1.709384,18,118.278252,61.367847,35.426590,inf,inf,347.449585,651.438354
19,1.703634,19,inf,54.909302,31.956314,inf,inf,348.692383,650.727539
20,1.693202,20,inf,45.274532,28.985655,inf,inf,348.027832,649.858276
21,1.686688,21,inf,41.411083,26.408712,inf,inf,346.453003,647.154358
22,1.686726,22,inf,36.178585,24.161705,inf,inf,346.256500,645.433716
23,1.656432,23,inf,32.707409,22.188515,inf,inf,345.319794,644.056091
24,1.648104,24,inf,28.602098,20.449209,inf,inf,344.033508,645.510864
25,1.650413,25,inf,26.381348,18.933701,inf,inf,343.278290,642.143616
26,1.649547,26,inf,21.482658,17.557680,inf,inf,342.405365,641.894775
27,1.644034,27,inf,19.240240,9.715428,inf,inf,341.294647,638.512146
28,1.640407,28,inf,17.432985,9.074379,inf,inf,340.092590,635.617615
29,1.636294,29,inf,15.442679,8.521291,inf,inf,342.276489,637.483704
30,1.636038,30,inf,14.051183,7.994948,inf,inf,342.236267,635.220764
31,1.663317,31,inf,12.658013,7.496146,inf,inf,342.106232,634.930969
32,1.661148,32,inf,10.898499,7.090930,inf,inf,339.971191,631.809326
33,1.653254,33,inf,10.037316,6.610963,inf,inf,338.463898,629.111511
34,1.650374,34,inf,9.050911,6.295085,inf,inf,336.926636,631.655518
35,1.649696,35,inf,8.264997,5.908622,inf,inf,338.925415,631.964111
36,1.643496,36,inf,7.490005,5.637759,inf,inf,338.678741,628.768311
37,1.641852,37,inf,6.876383,0.302743,inf,inf,337.644714,627.821899
38,1.642510,38,inf,6.205248,0.285858,inf,inf,337.053558,626.040894
39,1.640626,39,inf,5.541894,0.269491,inf,inf,336.686737,626.023315
40,1.639168,40,inf,5.126814,0.254213,inf,inf,333.950104,627.466675
41,1.631088,41,inf,4.635939,0.240247,inf,inf,337.821075,635.680298
42,1.634105,42,inf,4.266672,0.227843,inf,inf,337.558502,634.093689
43,1.630633,43,inf,4.029462,0.216364,inf,inf,336.052917,636.723511
44,1.630285,44,inf,3.634933,0.205880,inf,inf,335.988281,635.417725
45,1.628074,45,inf,3.344689,0.195707,inf,inf,337.635071,635.992676
46,1.627761,46,inf,3.042702,0.186434,inf,inf,337.602570,633.636963
47,1.625078,47,inf,2.801482,0.177606,inf,inf,337.052429,631.924866
48,1.625791,48,inf,2.600558,0.169076,inf,inf,335.420135,631.852600
49,1.618363,49,inf,2.500795,0.159531,inf,inf,334.109863,630.951843
50,1.617316,50,inf,2.134632,0.152233,inf,inf,331.979126,629.005798
